3;10;11;18;;;;;;;;;;;;;;;;;;;;;;;;
ON;YIN;CIVIERE;QUE;SKAS;MARC;ACCEPTA;RUZ;TA;TROTTENT;ZIG;FIOLE;SPA;CI;AEREZ;ET;PIN;COU
E;J;O;H;S;R;N;K;F;W;E;;;;;;;;;;;;;;;
C;N;N;J;E;C;I;C;A;U;L;;;;;;;;;;;;;;;
J;S;I;B;O;A;Y;R;E;T;O;;;;;;;;;;;;;;;
Q;A;P;U;E;T;Z;A;R;N;I;;;;;;;;;;;;;;;
U;K;C;P;R;P;C;M;E;E;F;;;;;;;;;;;;;;;
E;S;I;U;E;E;J;T;Z;T;U;;;;;;;;;;;;;;;
G;S;J;T;I;C;A;P;S;T;T;;;;;;;;;;;;;;;
I;R;E;E;V;C;O;G;F;O;A;;;;;;;;;;;;;;;
Z;U;N;C;I;A;W;P;L;R;B;;;;;;;;;;;;;;;
J;Z;C;I;C;M;A;G;A;T;J;;;;;;;;;;;;;;;
